video_id,comment_id,video_title,channel_name,channel_id,author_name,author_channel_id,text,source_query,source_group,dataset_sources,author_handle,published_text,like_count_text,reply_count,is_pinned,viewer_rating,like_count_bruto,like_count_imputado,like_count,texto_original,n_emojis,texto_limpio,longitud_original,tokens_limpios,apto_para_texto,sentimiento,prob_pos,prob_neg,prob_neu,puntaje_sentimiento,confianza_sentimiento,tramo_likes
j43HgwYFKfk,Ugw-J65a1iYL9hqhELh4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@MarcosCarillo-b1r,UCdFlugHJJa4l3YqWuNRmvXw,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,@quorumgt,topic,j43HgwYFKfk_out_comments.csv | quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@MarcosCarillo-b1r,hace 6 meses, ,0,False,,,True,0,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,0,corrupto amigo viejo fiscal verbo cárcel,72,6,True,NEG,0.0459279902279377,0.8077870607376099,0.14628496766090393,-0.7618590705096722,0.8077870607376099,0
06mFNPU0aB8,Ugw-ZT9t9wU2V-tCaUZ4AaABAg,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,UCVpSRoZgngfSL03Nlbjtq9A,@RaulPerez-cw2vi,UCvl1tzQeBeGy6efPTRJXSCw,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,@RaulPerez-cw2vi,hace 2 semanas, ,0,False,,,True,0,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",0,joven buscar trabajo suerte policía gustar var vestir mujer ensamblar maquinaria,175,11,True,NEG,0.005832502152770758,0.9650870561599731,0.0290803462266922,-0.9592545540072024,0.9650870561599731,0
j43HgwYFKfk,Ugw0xaOb2CYXXoudtwJ4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@iamjimalesssa,UCRAquv8el-tQ30bN7MlmySQ,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",@quorumgt,topic,j43HgwYFKfk_out_comments.csv | quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@iamjimalesssa,hace 1 año,4,0,False,,4,False,4,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",0,dejar gana demandar ilegalidad reunión virtual maquila,97,7,True,NEG,0.002656026277691126,0.9713771343231201,0.025966867804527283,-0.968721108045429,0.9713771343231201,3–10
j43HgwYFKfk,Ugw0xgUc2ISpBr5_T654AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@gonzalo6075,UCkbsS_3D-pvg1iHOld9uvIg,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@gonzalo6075,hace 1 año, ,0,False,,,True,0,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,0,mafioso mazariego cárcel tiempo sombra,80,5,True,NEG,0.03048654831945896,0.7018653154373169,0.2676481306552887,-0.6713787671178579,0.7018653154373169,0
OkXlHx0hx-8,Ugw1ZzA21njWhaqQQTh4AaABAg,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,@luisroldan7374,UCOLHH4ZpMxPYF-Q6e6wvn5A,"eso es para que salga de USA por su propio pie 
que se auto deporten",guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,@luisroldan7374,hace 1 día,2,1,False,,2,False,2,"eso es para que salga de USA por su propio pie 
que se auto deporten",0,salir pie auto deportar,68,4,True,NEG,0.019240999594330788,0.8103276491165161,0.17043134570121765,-0.7910866495221853,0.8103276491165161,1–2
OkXlHx0hx-8,Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,@eugeneramirez4405,UCi2KiZq63sRq8Mfbcp-MelQ,Imagine if they had to walk back home.,guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,@eugeneramirez4405,hace 20 horas, ,0,False,,,True,0,Imagine if they had to walk back home.,0,imagine they had walk back home,38,6,True,NEU,0.15142087638378143,0.3089751899242401,0.5396038889884949,-0.15755431354045868,0.5396038889884949,0
yLZS3JiEBg8,Ugw2014OIYf336oytFt4AaABAg,Arroz con pollo a la MONOPOLIO,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@capitanfrans,UCXl30Y_upRqbti52fmjK4YA,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@capitanfrans,hace 2 años, ,0,False,,,True,0,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,0,buenísima investigación hand purple blue peace hand purple blue peace hand purple blue peace,96,14,True,POS,0.5892648696899414,0.021916154772043228,0.38881897926330566,0.5673487149178982,0.5892648696899414,0
n8iP75gIpmw,Ugw2bSVOoNn2pc8ZcUl4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@danyraymundo2942,UCRelkU8JiZBytTzebJxaa-w,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@danyraymundo2942,hace 2 años,3,0,False,,3,False,3,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",0,lonchera sacrifiquensar reintevren dinero robar,84,5,True,NEG,0.03976690396666527,0.5835469961166382,0.37668612599372864,-0.5437800921499729,0.5835469961166382,3–10
lj983NWyAQY,Ugw3gnUvLp6AqO0_odt4AaABAg,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,@perritojuega1,UCgLurCo-e019HGODcjXHWCw,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,Municipalidad de Guatemala,topic,lj983NWyAQY_out_comments.csv | youtube_guatemala_plus_comments.csv,@perritojuega1,hace 5 años,2,0,False,,2,False,2,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,9,vivo guatemala,24,2,True,NEU,0.1649121791124344,0.15794523060321808,0.6771426200866699,0.006966948509216309,0.6771426200866699,1–2
n8iP75gIpmw,Ugw4C1ijI36l6LAiSZh4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@lizardomorataya8274,UCDIMztpVm7G27qBuiWuT6oQ,LADRONES !!!!,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,@lizardomorataya8274,hace 2 años, ,0,False,,,True,0,LADRONES !!!!,0,ladrón,13,1,True,NEG,0.12856347858905792,0.581593930721283,0.2898426055908203,-0.45303045213222504,0.581593930721283,0
